rows=3969
cols=3850
(0, 1729, 425)
(0, 840, -432)
(0, 1952, -858)
(0, 438, -932)
(0, 1345, 460)
(0, 1270, -389)
(0, 1037, 733)
(0, 724, -644)
(0, 2482, -243)
(0, 2456, 366)
(0, 484, -704)
(0, 1339, -800)
(0, 3074, -564)
(0, 1898, 384)
(0, 901, 39)
(0, 1585, -951)
(0, 929, 882)
(0, 37, 284)
(0, 1523, -673)
(0, 3421, 640)
(0, 1227, -674)
(0, 189, -556)
(0, 1341, -955)
(0, 1113, -949)
(0, 504, -832)
(0, 144, 539)
(0, 832, -637)
(0, 556, -874)
(0, 1214, -716)
(0, 1406, -601)
(0, 2017, -823)
(0, 1010, -565)
(0, 3186, 746)
(0, 2902, 10)
(0, 3351, -774)
(0, 1840, 355)
(0, 2782, -551)
(0, 2540, 726)
(0, 279, 764)
(0, 1821, -407)
(0, 1141, -804)
(0, 533, -62)
(0, 306, -811)
(0, 772, 324)
(0, 2831, -881)
(0, 1744, -786)
(0, 1257, -316)
(0, 3218, -731)
(0, 464, -660)
(0, 1862, -84)
(0, 898, -1020)
(0, 1445, -735)
(0, 3311, 41)
(0, 3596, 316)
(0, 461, -109)
(0, 1453, 395)
(0, 771, -927)
(0, 1129, -92)
(0, 165, -986)
(0, 1192, -767)
(0, 2147, -695)
(0, 185, -564)
(0, 230, -735)
(0, 1148, -271)
(0, 2303, -656)
(0, 1418, -534)
(0, 3284, -580)
(0, 2407, 45)
(0, 1192, -559)
(0, 2286, -989)
(0, 70, 648)
(0, 816, 148)
(0, 349, 749)
(0, 1866, 168)
(0, 2923, -928)
(0, 3146, 292)
(0, 3373, -44)
(0, 2915, -988)
(0, 818, 116)
(0, 675, -103)
(0, 2160, -622)
(0, 2472, -692)
(0, 3423, -971)
(0, 250, 705)
(0, 231, -934)
(0, 2826, 534)
(0, 1720, -953)
(0, 1358, -550)
(0, 1205, -1015)
(0, 2072, -618)
(0, 518, -232)
(0, 267, -23)
(0, 376, -584)
(0, 2132, -559)
(0, 690, -961)
(0, 221, 191)
(0, 302, -639)
(0, 3322, -752)
(0, 2939, 1018)
(0, 2258, -971)
(0, 1598, -901)
(0, 1250, -420)
(0, 1037, -933)
(0, 651, -53)
(0, 3458, -33)
(0, 1575, 905)
(0, 1560, -1005)
(0, 2244, -658)
(0, 1155, -862)
(0, 759, -896)
